"_id","price_start","price_end","house_area","flats_property_i","city_i","area_i","place_i","shi","ting","wei","floor_i","floor_zhu_i","lng","lat","deposit_ya","deposit_pay","s_jsf","s_gycs","s_znms","s_atm","s_dskd","s_zskf","s_fjqj","s_24hba","s_bjwx","s_sqhd","c_chuang","c_yigui","c_shuzhuo","c_kongtiao","c_canzhuo","c_nuanqi","c_tv","c_ranqi","c_wbl","c_dcl","c_rsq","c_xyj","c_bx","c_wifi","c_sf","c_cg","c_yyj","update_time_i"
6008,1480,1480,17,1,4,16,93,3,1,1,29,18,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496764800
6057,3800,3800,88,2,4,12,109,2,1,1,21,9,116.5217300000,39.9241900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496851200
6058,2080,2080,20,2,4,11,79,2,1,1,34,12,116.3097900000,40.0687400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1494691200
6059,2760,2760,22,2,4,12,132,3,1,1,24,20,116.4337100000,39.9818100000,1,3,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1496505600
6060,3000,3000,30,2,4,12,94,3,1,1,24,5,116.4349700000,39.9916300000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496505600
6061,2090,2090,20,2,4,15,127,3,1,1,9,5,116.1849100000,40.0463300000,1,3,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1495123200
6062,2130,2130,23,2,4,11,79,3,1,1,21,3,116.3097900000,40.0687400000,1,3,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1494864000
6063,1800,1800,20,2,4,14,105,3,1,1,27,20,116.6775100000,39.8950300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496678400
6064,2800,2800,27,2,4,12,94,3,1,1,24,10,116.3804300000,40.0019300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1496505600
6254,2200,2200,18,1,4,14,80,3,1,1,25,2,116.6388710000,39.8883220000,1,3,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1494518400
